Date,Open,High,Low,close to 4 week average ratio,Volume,Nifty Close,Close
20-06-2011,46.820499,48.539001,44.68,1.043507912,48551609,5471.25,45.192501
27-06-2011,45.041801,48.8405,44.7705,1.069152809,43334539,5627.200195,47.544102
04-07-2011,47.936001,50.950901,45.7654,1.075934573,26116143,5660.649902,49.232399
11-07-2011,49.292702,49.322899,46.941101,1.038006854,42918749,5581.100098,48.991199
18-07-2011,49.292702,51.794998,47.122002,1.07862266,18713225,5633.950195,51.4935
25-07-2011,51.855301,57.523201,51.523701,1.15359937,296580939,5482,56.890099
01-08-2011,57.282101,60.116001,55.473099,1.120094573,101083250,5211.25,57.8549
08-08-2011,56.558498,58.789501,55.473099,1.048325589,88587000,5072.950195,56.4077
15-08-2011,56.6791,58.879902,54.0863,1.018281026,48508322,4845.649902,56.6791
22-08-2011,56.6791,60.206501,54.9305,1.014688928,80378994,4747.799805,57.794601
29-08-2011,60.206501,61.3521,57.794601,1.057070535,36553607,5040,60.447601
05-09-2011,61.412399,62.527901,57.131302,1.003519671,49938486,5059.450195,58.035801
12-09-2011,57.734299,61.321899,56.8298,0.991329275,42246466,5084.25,57.734299
19-09-2011,57.734299,60.447601,56.166599,0.995104984,35593899,4867.75,58.216702
26-09-2011,58.035801,61.442501,57.2519,1.013373434,35831944,4943.25,59.392399
03-10-2011,59.091,60.296902,51.885502,0.932694941,37672854,4888.049805,54.4179
10-10-2011,53.965698,59.452801,51.9156,1.000918762,49330603,5132.299805,57.493099
17-10-2011,57.4328,59.030701,54.4179,0.960987713,34732432,5049.950195,55.141499
24-10-2011,55.774601,58.156399,54.9305,0.984689869,21372413,5360.700195,55.744499
31-10-2011,56.076099,59.543201,55.3526,1.059269214,40507942,5284.200195,59.0005
07-11-2011,59.091,59.241699,56.498199,1.006630371,10001163,5168.850098,57.221802
14-11-2011,57.8549,62.196301,56.709202,1.050311204,46780990,4905.799805,59.633598
21-11-2011,59.3321,61.0205,53.784801,0.996614898,85782473,4710.049805,57.704102
28-11-2011,58.487999,60.236599,55.3526,1.001162879,144949578,5050.149902,58.457901
05-12-2011,58.367401,59.060799,50.167,0.893777003,73971906,4866.700195,52.066399
12-12-2011,53.1819,53.302502,48.2677,0.889124101,64308297,4651.600098,50.649399
19-12-2011,50.5891,51.282501,47.031601,0.867768203,41437740,4714,47.483799
26-12-2011,47.483799,50.197201,47.483799,0.951308273,38330249,4624.299805,49.624401
02-01-2012,49.563999,51.312698,48.388302,0.990948024,28360507,4754.100098,49.503799
09-01-2012,49.141998,52.036201,48.719898,1.044780206,32255869,4866,51.523701
16-01-2012,50.528801,54.689301,49.443501,1.026171437,33047747,5048.600098,50.830299
23-01-2012,50.950901,58.4277,50.860401,1.12883423,46314212,5204.700195,56.860001
30-01-2012,56.739399,60.1763,53.543701,1.082767239,92295669,5325.850098,56.498199
06-02-2012,57.282101,59.392399,53.6642,1.036477288,30696542,5381.600098,55.895199
13-02-2012,56.076099,58.0056,54.297401,0.997260615,24414205,5564.299805,54.870201
20-02-2012,54.870201,57.282101,53.694401,1.00080668,29415963,5429.299805,56.076099
27-02-2012,55.292301,58.035801,55.111401,1.02591884,23960395,5359.350098,57.282101
05-03-2012,57.070999,58.608601,55.8349,1.012105856,37389651,5333.549805,56.709202
12-03-2012,57.282101,60.568199,56.6791,1.0577671,47948349,5317.899902,59.482899
19-03-2012,59.693901,60.4175,57.402599,1.029682814,22462495,5278.200195,59.091
26-03-2012,58.970402,61.623402,57.3424,1.024629626,28668157,5295.549805,59.573299
02-04-2012,59.2719,61.0205,58.457901,1.026445096,6543490,5322.899902,60.2668
09-04-2012,59.392399,60.236599,57.613701,0.980272979,22961367,5207.450195,58.4277
16-04-2012,55.443001,58.789501,51.855301,0.896227993,33674881,5290.850098,53.1819
23-04-2012,53.362801,54.809898,45.373402,0.844599966,87140771,5190.600098,48.870602
30-04-2012,48.900799,49.2626,47.031601,0.859327639,22811205,5086.850098,47.4235
07-05-2012,47.333099,50.046398,39.554798,0.951856028,12030542,4928.899902,49.473598
14-05-2012,50.197201,51.071499,47.483799,0.988029089,25409849,4891.450195,49.141998
21-05-2012,49.4133,50.227299,42.388699,0.960247776,32846934,4920.399902,46.790401
28-05-2012,46.187401,48.961102,44.1675,0.952470462,23708399,4841.600098,45.9161
04-06-2012,45.7654,47.905899,44.619701,0.995272407,24830945,5068.350098,47.604401
11-06-2012,47.785301,48.207401,45.463902,0.979631328,11353296,5139.049805,46.398499
18-06-2012,46.609501,47.2728,45.222698,0.981752386,11889438,5146.049805,45.8256
25-06-2012,46.036701,46.730099,44.227798,0.984256899,16779241,5278.899902,45.705101
02-07-2012,45.705101,52.548801,45.373402,1.110173008,31794300,5316.950195,51.493599
09-07-2012,51.282501,52.156799,48.8405,1.056818889,12457479,5227.25,50.046398
16-07-2012,49.8354,52.367901,47.694801,1.020612667,26510403,5205.100098,49.2626
23-07-2012,48.870602,49.714802,46.760201,0.983122768,18505170,5099.850098,48.297798
30-07-2012,48.5089,49.624401,47.182301,0.983646507,6047172,5215.700195,48.961102
